Delete column for submission,Actual Name,Jeff,Andy,Initial Class,Proposed name,Country,State-Prov,Site,Find or Fall Date,Purchase date,Purchase place,Fall,Latitude,Longitude,Mass,Pieces,Class,Shock,Weathering grade,Fa,Fs,Wo,Mag sus,Classifier,Class method,Type spec mass,Type spec loc,Main mass loc,Finder,Comments,Writeup history,Writeup physical,Writeup petrog,Writeup geochem,Writeup class,Writeup specimens,Submitter,,
15512G,,L4,L4,,Knardna,Australia,South Australia,Nullarbor Plain,15-May-2012,,,,"31° 02' 18.0"" S","130° 54' 15.6"" E",80.1,1,,,,,,,,A. Tomkins (Monash),"EMPA, Optical microscopy",59,Monash U.,Monash U.,J. Kuyken,,Found half buried in a claypan by J. Kuyken.,"Fragment, no fusion crust, weathered desert red.","(A. Tomkins, Monash) The matrix and mesostases are fine-grained, and some chondrules edges are distinct. Chondrules vary significantly in size and composition (varieties include PP, BO, PO, POP, C). Small plagioclase grains (< 50 microns) can be distuinguished in reflected light. Olivine has weak undulose extinction; there is no impact melting. Less than 3% of the metal/sulfides remains after weathering. ",,"Ordinary Chondrite (H5, S2, W4)",,A. Tomkins,,
16512A,,H4,H5,,Knardna,Australia,South Australia,Nullarbor Plain,16-May-2012,,,,"31° 00' 13.5"" S","130° 54' 21.8"" E",33.1,1,,,,,,,,A. Tomkins (Monash),"EMPA, Optical microscopy",29.7,Monash U.,Monash U.,A. Langendam,,Found by A Langendam on a claypan,Dark brown-black sample with 90% corroded fusion crust.,"(A. Tomkins, Monash) The matrix and mesostases are fine-grained and barely recrystallised. Chondrules edges are distinct. Chondrules vary significantly in size and composition (varieties include RP, BO, PO, PP, POP, GOP, C). Small glassy chondrules are devitrified. Very small plagioclase grains (< 10 microns) can be distuinguished in reflected light. Olivine has weak undulose extinction; a significant amount of troilite has been mobilised along fractures through shock. Metal grains are completely destroyed by rusting, and some troilite remains. ",,"Ordinary Chondrite (L4, S2, W4)",,A. Tomkins,,
16512C,,EL6 or Prim Ungr achondrite,Primitive E achondrite or martian orthopyroxenite,EL7,Knardna,Australia,South Australia,Nullarbor Plain,16-May-2012,,,,"31° 00' 29.4"" S","130° 54' 36.9"" E",16.1,3,EL7,S1,W3,,0.25,1.68,,L. J. Bowlt (Monash),"EMPA, Optical microscopy",12.2,Monash U.,Monash U.,A. Langendam,,Found by A. Langendam on a claypan,"Corroded and fractured sample, no fusion crust, looks strongly weathered; dark brown.","(L. Bowlt) Two remnant RP chondrules, 0.5 and 0.8 mm in size, are barely discernable amongst highly recrystallised granular matrix (in 2 x 2 cm area). Mineralogy includes orthopyroxene (enstatite), plagioclase, troilite and Fe-Ni metal. Enstatite grains are 20-250 microns in size (average 100 microns), vary in shape from rounded adjacent to plagioclase, to having well-formed 120 degree triple junctions between adjacent enstatite grains; they comprise 75-85% of the sample and some grains contain subgrains. Almost all plagioclase forms an interconnected network between enstatite grains and sometimes encapsulates small sub-spherical enstatite grains. Shock levels are very low with the enstatite and plagioclase showing sharp optical extinction. Total oxidation of the metal is 95%, however oxidation levels vary throughout the sample; ~ 97% troilite and 3% metal make up that remaining 5% that has not been oxidised. ","(L. Bowlt, Monash) Microprobe analyses show that pyroxene is uniform: Low-Ca pyroxene Fs0.065-0.4 (mean= 0.24 mol%, std= 0.126 , n= 16), metal contains","Enstatite Chondrite (EL7, S1, W3)",,A. Tomkins,,
16512D,,H4,CV3,,Knardna,Australia,South Australia,Nullarbor Plain,16-May-2012,,,,"31° 00' 07.0"" S","130° 54' 33.2"" E",24.8,1,H4,S2,W4,19.64,17.38,1.08,,A. Tomkins (Monash),"EMPA, Optical microscopy",22.3,Monash U.,Monash U.,A. Langendam,,Found by A Langendam on a claypan,Dark red-black rounded sample with 65% fusion crust.,"(A. Tomkins, Monash) The matrix and mesostases are fine-grained and barely recrystallised. Chondrules edges are distinct, and vary significantly in size and composition (varieties include RP, BO, PO, PP, POP, GOP, C). Very small plagioclase grains (< 10 microns) can be distuinguished in reflected light. Olivine has weak undulose extinction; there is no shock melting. Metal grains are completed destroyed by rusting, and some troilite remains. ","(A. Tomkins, Monash) Microprobe analyses: olivine Fa19.2, mean=20.4 mol%, std=0.26, n=8; Low-Ca pyroxene Fs16.4-18.9, mean=17.38 mol%, std=0.40, n=12.","Ordinary Chondrite (H4, S2, W4)",,A. Tomkins,,
17512A,,,,,O'Malley,Australia,South Australia,Nullarbor Plain,17-May-2012,,,,"30° 37' 53.4"" S","131° 29' 53.5"" E",107.6,1,L6,S4,W2,23.44,19.34,1.65,,L. J. Bowlt (Monash),"EMPA, Optical microscopy",104.2,Monash U.,Monash U.,A. Tait,,Found by A. Tait on desert caliche between claypans.,"Half-fist sized dark red-brown sample with 95% smooth fusion crust, a small amount of lichen attached.","(L. Bowlt) Chondrules range in size up to 1.2 mm diameter, have diffuse boundaries and sit in a highly recrystallised matrix. Mineralogy includes olivine, pyroxene, plagioclase (many plagioclase grains exceed 50 microns), Fe-Ni metal and troilite. Chondrule types include BO, RP, PO, PP, POP. Metal and troilite grains are large, both ranging up to 1 mm in size. Plagioclase is abundant (20-30%) and some has been converted to maskelynite. Olivine grains show undulose extinction, mosaicism and contain distinct perpendicular sets of shock lamellae.  Moderate oxidation of metal and troilite has occurred with 20-25% of the grains affected. Given that most oxidation occurs as rims on the metals/sulphides and there are no oxide veins, estimations on original percentages of metal and troilite are approximately 1-3% and 5-15% respectively. ","(L. Bowlt, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa23.1-24.3, mean= 23.44 mol%, std=0.65, n=6; Low-Ca pyroxene Fs18.4-19.9 , mean= 19.33  mol%, std=0.64  , n=6.","Ordinary Chondrite (L6, S4, W3)",,A. Tomkins,,
17512B/C,,L5,L6,,O'Malley,Australia,South Australia,Nullarbor Plain,17-May-2012,,,,"30° 38' 57.7"" S","131° 28' 20.2"" E",17.8,2,L6,S4,W2,22.53,19.29,1.60,,L. J. Bowlt (Monash),"EMPA, Optical microscopy",15.6,Monash U.,Monash U.,A. Tomkins,,Two adjacent pieces found by A. Tomkins amongst limestone gravel,"Two fragments with smooth brown-black fusion crust, covering 70% of the larger sample.","(L. Bowlt) Poorly defined fragmented chondrules, ranging in size up to 2 mm, sit in a strongly recrystallised matrix. Mineralogy includes olivine, pyroxene, plagioclase, troilite, Fe-Ni metal and chromite. Chondrule types include BO, GOP and PO. Plagioclase is very coarse grained with sizes commonly in the range of 80 microns. Olivine grains show mosaicism and shock lamellae. Plagioclase is partly converted to maskelynite and there are shock melt veins. Incomplete transformation of plagioclase to maskelynite suggests shock classification of S4. 20-30% of FeNi metal and troilite are weathered with thin oxide rims. ","(L. Bowlt, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa22.2-22.9, mean= 22.53 mol%, std=0.31 , n=5; Low-Ca pyroxene Fs18.6-19.7 , mean= 19.3 mol%, std=0.55 , n=5.","Ordinary Chondrite (L6, S4, W3)",,A. Tomkins,,
18512E,,H3.9,L4,,O'Malley,Australia,South Australia,Nullarbor Plain,18-May-2012,,,,"30° 43' 43.8"" S","131° 26' 54.2"" E",76,1,,,,,,,,A. Tomkins (Monash),"EMPA, Optical microscopy",73.3,Monash U.,Monash U.,A. Tait,,Single sample found by A. Tait on a claypan.,Brown-black meteorite  with 40% fusion crust and several broken faces,"(A. Tomkins, Monash) The matrix and mesostases are considerably recrystallised, but still fine-grained. Chondrules edges are fairly distinct. Chondrules vary significantly in size and composition (varieties include RP, BO, PO, PP, POP, C). Small plagioclase grains (< 50 microns with numerous inclusions) can be easily distuinguished in reflected light. Olivine has weak undulose extinction. There is no shock melting or veining. A few chondrules are rimmed by troilite. About 90% of the metal has been destroyed by rusting, whereas most troilite remains. ",,"Ordinary Chondrite (H5, S2, W3)",,A. Tomkins,,
18512F,,H4,L5,,O'Malley,Australia,South Australia,Nullarbor Plain,18-May-2012,,,,"30° 47' 16.4"" S","131° 26' 47.6"" E",13.1,1,,,,,,,,A. Tomkins (Monash),"EMPA, Optical microscopy",11.5,Monash U.,Monash U.,E. Mare,,Single sample found by E. Mare on a claypan.,Dark brown rounded sample with 100% fusion crust.,"(A. Tomkins, Monash) The matrix and mesostases are considerably recrystallised, but still fine-grained. Chondrules edges are moderately distinct (varieties include RP, BO, PO, POP, C). Some larger plagioclase grains exist, but most are < 50 microns (many with numerous inclusions). Olivine has undulose extinction and mosaicism in places, as well as planar fractures. There are many troilite veinlets (obscured by rusting) from shock melting. About 90% of the metal has been destroyed by rusting, whereas most troilite remains. ",,"Ordinary Chondrite (L5, S4, W3)",,A. Tomkins,,
19512A,,,,,Biduna Blowhole,Australia,South Australia,Nullarbor Plain,19-May-2012,,,,"31° 04' 50.8"" S","131° 15' 30.9"" E",24.2,1,H3,S3,W3,19.46,17.28,1.45,,A. Tomkins (Monash),"EMPA, Optical microscopy",14,Monash U.,Monash U.,J. Kuyken,,Single sample found on the windblown edge of a large claypan by J. Kuyken.,Mottled red and black sample with 35% fusion crust and several cracks.,"(A. Tomkins, Monash) Chondrules edges are sharp, glassy chondrules are barely recrystallised; these and chondrule mesostaces have sub-micron crystallites. Chondrules vary significantly in size and composition (varieties include RP, BO, PO, PP, POP, GOP, C, glassy). Olivine has weak undulose extinction; there is mild shock melting and some troilite has been mobilised along fractures. There are sparse troilite halos around chondrules. About 80% of the metal has been destroyed by rusting, whereas most troilite remains. ","(A. Tomkins, Monash) Microprobe analyses: olivine Fa18.6-20.6, mean=19.46 mol%, std=0.67, n=9; Low-Ca pyroxene Fs16.5-17.8, mean=17.28 mol%, std=0.42, n=9.","Ordinary Chondrite (H3, S3, W3)",,A. Tomkins,,
19512B,,H6,L6,,Biduna Blowhole,Australia,South Australia,Nullarbor Plain,19-May-2012,,,,"31° 04' 53.7"" S","131° 15' 03.5"" E",12.1,1,H6,S3,W3,17.95,15.75,1.40,,L. J. Bowlt (Monash),"EMPA, Optical microscopy",9.5,Monash U.,Monash U.,A. Tait,,Single sample found on the windblown edge of a large claypan by A. Tait.,Flat dark brown-black sample with 40% fusion crust.,"(L. Bowlt, Monash) Remnant chondrules have very diffuse edges and are poorly defined. They range in size up to 0.5 mm and sit in a weathered, fragmented and recrystallised matrix. The sample contains some porous domains. Mineralogy includes olivine, pyroxene, plagioclase, Fe-Ni metal and troilite. Chondrule types include CC, PO, PP and BO.  Distinct plagioclase grains are coarse, many exceeding 50 microns. Olivine grains have sharp extinction and shock lamellae, and there is no evidence of mosaicism or maskelynite. Weathering is patchy; both Fe-Ni metal and troilite have been completely weathered out in some patches and in other regions weathering is 70-80%.","(L. Bowlt, Monash) Olivine Fa17.8-18.2, mean=17.95  mol%, std=0.16, n=5; Low-Ca pyroxene Fs15.1-17.4 , mean=15.75  mol%, std=0.97 , n=5.","Ordinary Chondrite (H6, S3, W3)",,A. Tomkins,,
6413A,,,L6,,Ooldea,Australia,South Australia,Nullarbor Plain,6-Apr-2013,,,,"30° 33' 25.9"" S","131° 48' 11.8"" E",10,1,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",8.1,Monash U.,Monash U.,A. Tomkins,,Single specimen found by A Tomkins,Rounded 2 cm specimen with 100% fusion crust weathered to desert red.,"(A. Tomkins, Monash) Few chondrules are discernable and the sample appears finely brecciated with many fine shock veins. Mineralogy includes olivine, ortho- and clinopyroxene, plagioclase, Fe-Ni metal, troilite and chromite. Chondrule types include RP, PP, BO and PO. Olivine and plagioclase grains show undulose extinction. About 65% of the FeNi metal is oxidised; much of the troilite remains.","(A. Tomkins, Monash) Microprobe analyses: olivine Fa25.0-26.1, mean=25.44 mol%, std=0.41, n=5; Low-Ca pyroxene Fs21.7-22.2, mean=21.90 mol%, std=0.21, n=5.","Ordinary chondrite (LL6, S3, W3)",,A. Tomkins,,
6413H,,L6 S4,L6 S5,,Ooldea,Australia,South Australia,Nullarbor Plain,6-Apr-2013,,,,"30° 34' 18.90 ""S","131° 48' 53.46""E",20,1,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",14.6,Monash U.,Monash U.,J. Kuyken,,Single specimen found by J Kuyken,An elongate rounded sample with 65% fusion crust weathered to desert red,"(A. Tomkins, Monash) Only sparse chondrules are recognisable after extenisve recrystallisation and brecciation. Mineralogy includes olivine, ortho- and clinopyroxene, plagioclase, FeNi metal, troilite and chromite. Chondrule types include RP, POP and BO. Olivine grains show mosaicism and PDFs; there are numerous shock veins. About 80% of the metal has been oxidised whereas much of the troilite remains.","(E. Mare, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa19.4-20.0, mean=19.61 mol%, std=0.28, n=4; Low-Ca pyroxene Fs17.4-18.0, mean=17.53 mol%, std=0.29, n=4.  ","Ordinary chondrite (L6, S5, W3) monomict breccia",,A. Tomkins,,
8413C,,L5,L6,,Ooldea,Australia,South Australia,Nullarbor Plain,8-Apr-2013,,,,"30° 32' 45.1"" S","131° 48' 40.2"" E",15.1,3,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",13.6,Monash U.,Monash U.,A. Tomkins,,Three jigsaw-fitting fragments found by A Tomkins,The fusion crust suggests that these three jig-saw fitting fragments represent 70% of the sample. ,"(A. Tomkins, Monash) Chondrules are distinct although shock disrupted; chondrule mesostaces are very fine grained. Mineralogy includes olivine, ortho- and clinopyroxene, plagioclase (< 5 microns), Fe-Ni metal, and troilite. Chondrule types include GOP, RP, PO, PP, POP and BO. Olivine grains show undulose extinction, and there are sparse shock veins. Metal and troilite have been heavily replaced by oxides; ~80% of metal has been destroyed. ","(E. Mare, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa19.0-19.8, mean=19.29 mol%, std=0.32, n=5; Low-Ca pyroxene Fs16.9-17.9, mean=17.32 mol%, std=0.41, n=5.","Ordinary chondrite (L4, S3, W3)",,A. Tomkins,,
8413D,Ooldea 004,Ungr Type 3,LL3,EL3,Ooldea,Australia,South Australia,Nullarbor Plain,8-Apr-2013,,,,"30° 33' 17.3"" S","131° 49' 9.2"" E",1168,3,EL3,S2,W4,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",795,Monash U.,Monash U.,"A. Tomkins, J. Kuyken, A. Langendam",,"Three individual stones, each extensively broken up and dispersed, from a newly defined strewn field identified in 2013 and 2014. Masses range from 124 to 1044 grams. These stones were found 15 km from Watson 007, which is an EL3 of the same weathering extent; given the rarity of EL3 chondrites, they are likely to be from the same fall.","Numerous broken fragments up to 10 cm, blocky or flat, weathered to dark brown.","(E. Mare, Monash) This sample contains well defined and some unusually large chondrules (up to 5 mm). Mineralogy includes olivine, pyroxene, plagioclase, Fe-Ni metal (largely rusted out), and troilite. Chondrule types include RP, POP, CC, PO, PP. Fe-Ni metal grains (<<1%) average ~5 microns. Troilite grains (3%) are up to 200 microns and show some oxidation. Metal and troilite are partly replaced by oxides which make up ~7% of the meteorite. Olivine grains show sharp extinction, however there are extensive melt networks where brecciated silicates are suspended in oxides after troilite and metal.","(E. Mare, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa18.7-19.1, mean=18.84 mol%, std=0.19, n=4; Low-Ca pyroxene Fs16.5-17.0, mean=16.83 mol%, std=0.24, n=4. ","Ordinary chondrite (H5, S3, W3)",,A. Tomkins,,
8413E,,,L5,,Ooldea,Australia,South Australia,Nullarbor Plain,8-Apr-2013,,,,"30° 32' 30.9"" S","131° 48' 1.5"" E",10,1,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",7.6,Monash U.,Monash U.,E. Mare,,Single specimen found by E Mare,Small equant sample with 50% dark brown fusion crust.,"(A. Tomkins, Monash) This sample is coarse grained and contains only sparse recognisable chondrules up to 2 mm in size.  Mineralogy includes olivine, ortho- and clinopyroxene, and plagioclase (>100 microns), FeNi metal, troilite and chromite. Chondrule types include RP, POP, PO, PP and BO. Olivine and plagioclase grains have undulose extinction; there are annealed metal-troilite veins. About 95% of the metal is oxidised and a considerable amount of troilite remains. ","(E. Mare, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa18.9-19.2, mean=19.00 mol%, std=0.13, n=4; Low-Ca pyroxene Fs16.7-17.3, mean=17.01 mol%, std=0.28, n=4.  ","Ordinary chondrite (L6, S2, W3)",,A. Tomkins,,
9413A,,L5,L6,,Ooldea,Australia,South Australia,Nullarbor Plain,9-Apr-2013,,,,"30° 33' 59.2"" S","131° 46' 31.2"" E",36.3,2,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",33.9,Monash U.,Monash U.,A. Langendam,,Two angular fragments found by A Langendam,"Desert-red coloured fragments, with 30% fusion crust on the larger 3.5 cm sample.","(A. Tait, Monash) Larger chondrules have distinct grain boundaries, although they are somewhat obscured by iron oxide from weathering coating grain boundaries. Chondrule populations include; GOP, RP, POP, PO. Plagioclase grains are 2-50 microns. Olivine has sharp extinction and no shock lamellae. Weathering has oxidized all the Fe-Ni metal grains and much of the troilite. Troilite grains are (~150 microns) in diameter. Small (< 20 microns) metal grains reside in chondrules that protected them from weathering. ","(A. Tait, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa18.6-20.6, mean=19.30 mol%, std=0.92, n=4; Low-Ca pyroxene Fs17.0-17.4, mean=17.18 mol%, std=0.17, n=4. ","Ordinary Chondrite (H4, S1, W3).",,A. Tomkins,,
9413C,,,L4,,Ooldea,Australia,South Australia,Nullarbor Plain,9-Apr-2013,,,,"30° 34' 10.2"" S","131° 46' 20.4"" E",54.6,1,L5,S2,W1,21.89,23.50,,,"J. Savage, Monash","EMPA, Optical microscopy",32,Monash U.,Monash U.,A. Tomkins,,Single fragment with distinct chondrules found by A Tomkins,"No fusion crust, numerous well-formed chondrules visible, 60% of the 5 cm slightly elongate sample covered by lichen.","(J. Savage, Monash) Chondrule boundaries are difficult to distinguish from matrix. Mineralogy includes olivine, pyroxene, plagioclase Fe-Ni Metal, and troilite. Chondrules up to 1 mm include BO, POP, RP, C, PP and PO. Both sharp and undulose extinction are common in olivine, pyroxene and plagioclase grains. One large olivine grain shows mosaicism. Fe-Ni metal shows <10% oxidation; troilite has <5% weathering.","(J. Savage, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa22.0-23.9, mean=21.89 mol%, std=1.66, n=6; Low-Ca pyroxene Fs23.5, mean=23.5 mol%, std=N/A, n=1.","Ordinary Chondrite (L5, S2, W1).",,A. Tomkins,,
9413E,,L5,H5,,Ooldea,Australia,South Australia,Nullarbor Plain,9-Apr-2013,,,,"30° 34' 16.4"" S","131° 46' 18.1"" E",169,12,L5,S2,W3,24.21,21.36,,,"J. Savage, Monash","EMPA, Optical microscopy",164.4,Monash U.,Monash U.,A. Tomkins,,Twelve fragments spread over ~20 m2 found by A Tomkins,"Several flatish blocky fragments up to 4 cm, several with partial fusion crust, weathered to brown-red.","(J. Savage, Monash) Porphyritic chondrules >1mm are recognisable amongst well recrystallised matrix. Two porphyritic chondrules <1mm have troilite rims. Chondrule mesostasis is completely recrystallised. Minerals present are olivine, pyroxene, plagioclase, Fe-Ni metal and troilite. Chondrule types include PO, C, BO, POP, PP, and RP. The majority of olivine, pyroxene and plagioclase grains exhibit undulose extinction. 85% of Fe-Ni metal is weathered, 50-60% of sulphides.","(J. Savage, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa23.0-26.4, mean=24.21 mol%, std=1.58, n=5; Low-Ca pyroxene Fs20.3-23.1, mean=21.36 mol%, std=1.09, n=5.","Ordinary chondrite (L5, S2, W3)",,A. Tomkins,,
